filename,AVL_halfing_build,BST_sequential_build,Find_min,Find_max,Inorder_traversal,DSW_rebalance
random_array_00000004.txt,0.034,0.011,0.003,0.003,0.005,0.022
random_array_00000008.txt,0.02,0.012,0.001,0.001,0.004,0.019
random_array_00000016.txt,0.026,0.015,0.001,0.001,0.005,0.022
random_array_00000032.txt,0.038,0.032,0.001,0.001,0.009,0.035
random_array_00000064.txt,0.073,0.064,0.001,0.001,0.016,0.064
random_array_00000128.txt,0.138,0.152,0.001,0.001,0.032,0.122
random_array_00000256.txt,0.25,0.36,0.002,0.001,0.069,0.28
random_array_00000512.txt,0.444,0.75,0.001,0.001,0.109,0.421
random_array_00001024.txt,2.996,1.658,0.001,0.001,0.206,0.803
random_array_00002048.txt,1.676,2.511,0.001,0.001,0.316,1.361
random_array_00004096.txt,24.962,6.933,0.003,0.001,1.076,1.459
random_array_00008192.txt,3.801,6.213,0.001,0.001,0.627,2.563
random_array_00016384.txt,6.971,13.495,0.003,0.0,1.103,4.298
random_array_00032768.txt,13.211,25.459,0.002,0.0,2.222,8.354
random_array_00065536.txt,26.316,64.483,0.002,0.0,3.711,16.643
