filename,BST_inorder_traversal
random_array_00000004.txt,0.001
random_array_00000008.txt,0.001
random_array_00000016.txt,0.003
random_array_00000032.txt,0.003
random_array_00000064.txt,0.005
random_array_00000128.txt,0.012
random_array_00000256.txt,0.017
random_array_00000512.txt,0.032
random_array_00001024.txt,0.063
random_array_00002048.txt,0.127
random_array_00004096.txt,0.251
random_array_00008192.txt,0.487
random_array_00016384.txt,0.98
random_array_00032768.txt,2.303
random_array_00065536.txt,4.147
