filename,BST_sequential_build
random_array_00000004.txt,0.002
random_array_00000008.txt,0.003
random_array_00000016.txt,0.005
random_array_00000032.txt,0.012
random_array_00000064.txt,0.023
random_array_00000128.txt,0.05
random_array_00000256.txt,0.091
random_array_00000512.txt,0.24
random_array_00001024.txt,0.513
random_array_00002048.txt,1.142
random_array_00004096.txt,2.375
random_array_00008192.txt,5.305
random_array_00016384.txt,11.962
random_array_00032768.txt,25.883
random_array_00065536.txt,59.675
